topic,message_type,bag_time_ns,bag_time_s,time_from_start_s,header_time_ns,header_time_s,z
/kiss/odometry,nav_msgs/msg/Odometry,1784313418685068258,1784313418.685068369,0.000000000,1784134660923533142,1784134660.923532963,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313418812017955,1784313418.812017918,0.126949697,1784134661022628090,1784134661.022628069,-0.000587937092
/kiss/odometry,nav_msgs/msg/Odometry,1784313418943332390,1784313418.943332434,0.258264132,1784134661123741690,1784134661.123741627,0.000611162708
/kiss/odometry,nav_msgs/msg/Odometry,1784313419080260215,1784313419.080260038,0.395191957,1784134661223476080,1784134661.223475933,0.001750933307
/kiss/odometry,nav_msgs/msg/Odometry,1784313419215142596,1784313419.215142727,0.530074338,1784134661322688145,1784134661.322688341,0.001479686180
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419669840142,1784313419.669840097,0.984771884,1784134661043489802,1784134661.043489695,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419672207451,1784313419.672207355,0.987139193,1784134661143546848,1784134661.143546820,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419672243210,1784313419.672243118,0.987174952,1784134661193326338,1784134661.193326235,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419672712717,1784313419.672712803,0.987644459,1784134661293607826,1784134661.293607950,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313419747406648,1784313419.747406483,1.062338390,1784134661423634966,1784134661.423635006,0.000169794356
/kiss/odometry,nav_msgs/msg/Odometry,1784313419795640199,1784313419.795640230,1.110571941,1784134661523569190,1784134661.523569107,0.000131910359
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419822790707,1784313419.822790623,1.137722449,1784134661443592596,1784134661.443592787,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313419858274622,1784313419.858274460,1.173206364,1784134661622736271,1784134661.622736454,0.000464421178
/spool_cable_odom,nav_msgs/msg/Odometry,1784313419893456424,1784313419.893456459,1.208388166,1784134661493576016,1784134661.493576050,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313419927338709,1784313419.927338839,1.242270451,1784134661723672860,1784134661.723672867,0.000255994178
/kiss/odometry,nav_msgs/msg/Odometry,1784313420005651475,1784313420.005651474,1.320583217,1784134661823579462,1784134661.823579311,0.000267773452
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420032814761,1784313420.032814741,1.347746503,1784134661593600637,1784134661.593600512,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420072239420,1784313420.072239399,1.387171162,1784134661922706723,1784134661.922706604,0.000125268167
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420156693601,1784313420.156693459,1.471625343,1784134661693571725,1784134661.693571806,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420168929663,1784313420.168929577,1.483861405,1784134662023664432,1784134662.023664474,-0.000063908029
/kiss/odometry,nav_msgs/msg/Odometry,1784313420305765866,1784313420.305765867,1.620697608,1784134662123726979,1784134662.123727083,-0.000037035752
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420356152743,1784313420.356152773,1.671084485,1784134661843539304,1784134661.843539238,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420423683728,1784313420.423683882,1.738615470,1784134661893554048,1784134661.893554211,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420443315411,1784313420.443315506,1.758247153,1784134662223638398,1784134662.223638296,0.000248917567
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420556614531,1784313420.556614637,1.871546273,1784134661993661564,1784134661.993661404,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420584969390,1784313420.584969521,1.899901132,1784134662322681472,1784134662.322681427,-0.000092942471
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420691700294,1784313420.691700220,2.006632036,1784134662093531091,1784134662.093531132,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420713454419,1784313420.713454247,2.028386161,1784134662423592431,1784134662.423592329,-0.000259002791
/kiss/odometry,nav_msgs/msg/Odometry,1784313420846333993,1784313420.846333981,2.161265735,1784134662523740496,1784134662.523740530,-0.000357900122
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420890549133,1784313420.890549183,2.205480875,1784134662243560052,1784134662.243559837,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313420956972336,1784313420.956972361,2.271904078,1784134662293538802,1784134662.293538809,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313420972890211,1784313420.972890139,2.287821953,1784134662623589247,1784134662.623589039,-0.000550260828
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421090217265,1784313421.090217113,2.405149007,1784134662393508316,1784134662.393508434,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313421103181556,1784313421.103181601,2.418113298,1784134662723585524,1784134662.723585606,-0.000366793311
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421222765625,1784313421.222765684,2.537697367,1784134662493610108,1784134662.493609905,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313421248063858,1784313421.248063803,2.562995600,1784134662823764488,1784134662.823764563,-0.000554423590
/kiss/odometry,nav_msgs/msg/Odometry,1784313421375635986,1784313421.375635862,2.690567728,1784134662923553244,1784134662.923553228,-0.000362287775
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421423908208,1784313421.423907995,2.738839950,1784134662643413732,1784134662.643413782,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421491405886,1784313421.491405725,2.806337628,1784134662693574877,1784134662.693574905,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313421499180548,1784313421.499180555,2.814112290,1784134663023670282,1784134663.023670197,-0.000224730877
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421622648728,1784313421.622648716,2.937580470,1784134662793550000,1784134662.793550014,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313421642110015,1784313421.642109871,2.957041757,1784134663122670521,1784134663.122670650,0.000096918321
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421757441347,1784313421.757441282,3.072373089,1784134662893529397,1784134662.893529415,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313421790372036,1784313421.790372133,3.105303778,1784134663223795317,1784134663.223795176,0.000143673919
/kiss/odometry,nav_msgs/msg/Odometry,1784313421904361914,1784313421.904361963,3.219293656,1784134663323587923,1784134663.323587894,0.000043346630
/spool_cable_odom,nav_msgs/msg/Odometry,1784313421957469205,1784313421.957469225,3.272400947,1784134663043718313,1784134663.043718338,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422025101157,1784313422.025100946,3.340032899,1784134663093531374,1784134663.093531370,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422036238400,1784313422.036238432,3.351170142,1784134663423479020,1784134663.423479080,-0.000070788138
/kiss/odometry,nav_msgs/msg/Odometry,1784313422147084064,1784313422.147083998,3.462015806,1784134663522661444,1784134663.522661448,0.000147308629
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422157738285,1784313422.157738209,3.472670027,1784134663193523712,1784134663.193523645,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422279106022,1784313422.279106140,3.594037764,1784134663622845251,1784134663.622845173,0.000148834589
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422355823410,1784313422.355823278,3.670755152,1784134663343395352,1784134663.343395233,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422424364237,1784313422.424364328,3.739295979,1784134663723666267,1784134663.723666191,-0.000038119348
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422490341574,1784313422.490341663,3.805273316,1784134663443488149,1784134663.443488359,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422549017996,1784313422.549018145,3.863949738,1784134663823596795,1784134663.823596716,-0.000367057440
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422558549130,1784313422.558549166,3.873480872,1784134663493562019,1784134663.493562222,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422692707325,1784313422.692707300,4.007639067,1784134663593543345,1784134663.593543530,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422695816759,1784313422.695816755,4.010748501,1784134663923502443,1784134663.923502445,-0.000289170312
/kiss/odometry,nav_msgs/msg/Odometry,1784313422850668069,1784313422.850667953,4.165599811,1784134664023447590,1784134664.023447514,-0.000068917642
/spool_cable_odom,nav_msgs/msg/Odometry,1784313422889791086,1784313422.889791012,4.204722828,1784134663743456322,1784134663.743456364,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313422967804075,1784313422.967804193,4.282735817,1784134664122583444,1784134664.122583628,0.000001241698
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423023013100,1784313423.023013115,4.337944842,1784134663843569891,1784134663.843569994,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423092196403,1784313423.092196465,4.407128145,1784134663893631196,1784134663.893631220,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313423127367499,1784313423.127367496,4.442299241,1784134664223547515,1784134664.223547459,-0.000254348618
/kiss/odometry,nav_msgs/msg/Odometry,1784313423211413700,1784313423.211413860,4.526345442,1784134664322656219,1784134664.322656155,-0.000414624010
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423223733475,1784313423.223733425,4.538665217,1784134663993597251,1784134663.993597269,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423424637775,1784313423.424637794,4.739569517,1784134664143546176,1784134664.143546104,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313423493999668,1784313423.493999720,4.808931410,1784134664523500752,1784134664.523500681,-0.000496219788
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423556674372,1784313423.556674242,4.871606114,1784134664243626128,1784134664.243626356,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423627680662,1784313423.627680779,4.942612404,1784134664293463994,1784134664.293463945,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313423628541589,1784313423.628541708,4.943473331,1784134664623690005,1784134664.623689890,-0.000622663459
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423759308326,1784313423.759308338,5.074240068,1784134664393637156,1784134664.393637180,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313423760493167,1784313423.760493040,5.075424909,1784134664722671962,1784134664.722671986,-0.000570984628
/kiss/odometry,nav_msgs/msg/Odometry,1784313423889573634,1784313423.889573574,5.204505376,1784134664823516421,1784134664.823516369,-0.000795798446
/spool_cable_odom,nav_msgs/msg/Odometry,1784313423955913951,1784313423.955914021,5.270845693,1784134664543509573,1784134664.543509483,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313424024099027,1784313424.024099112,5.339030769,1784134664923668772,1784134664.923668623,-0.000886900915
/spool_cable_odom,nav_msgs/msg/Odometry,1784313424088848637,1784313424.088848591,5.403780379,1784134664643597735,1784134664.643597841,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313424152132637,1784313424.152132511,5.467064379,1784134665022612707,1784134665.022612810,-0.000872674485
/spool_cable_odom,nav_msgs/msg/Odometry,1784313424157428389,1784313424.157428503,5.472360131,1784134664693642024,1784134664.693641901,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784313424289521995,1784313424.289521933,5.604453737,1784134664793483035,1784134664.793483019,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784313424296216478,1784313424.296216488,5.611148220,1784134665123645851,1784134665.123646021,-0.001127693623
/kiss/odometry,nav_msgs/msg/Odometry,1784313424416990607,1784313424.416990757,5.731922349,1784134665223508435,1784134665.223508596,-0.001087033543
