topic,message_type,bag_time_ns,bag_time_s,time_from_start_s,header_time_ns,header_time_s,z
/kiss/odometry,nav_msgs/msg/Odometry,1784322662651806609,1784322662.651806831,0.000000000,1784136751150260615,1784136751.150260687,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784322662730218403,1784322662.730218410,0.078411794,1784136750931644225,1784136750.931644201,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322662768233328,1784322662.768233299,0.116426719,1784136751250093532,1784136751.250093460,-0.000712309882
/spool_cable_odom,nav_msgs/msg/Odometry,1784322662855773120,1784322662.855773211,0.203966511,1784136751031666975,1784136751.031666994,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322662885858304,1784322662.885858297,0.234051695,1784136751349352838,1784136751.349353075,-0.000908403789
/spool_cable_odom,nav_msgs/msg/Odometry,1784322662981889259,1784322662.981889248,0.330082650,1784136751131922972,1784136751.131922960,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322663015976584,1784322663.015976667,0.364169975,1784136751449993049,1784136751.449992895,-0.001179497497
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663113408732,1784322663.113408804,0.461602123,1784136751231686818,1784136751.231686831,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322663138437907,1784322663.138437986,0.486631298,1784136751550858448,1784136751.550858498,-0.000746811065
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663589948811,1784322663.589948893,0.938142202,1784136751331779098,1784136751.331779003,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663590530116,1784322663.590530157,0.938723507,1784136751431619033,1784136751.431619167,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663590727666,1784322663.590727568,0.938921057,1784136751531472272,1784136751.531472445,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663604798518,1784322663.604798555,0.952991909,1784136751631629475,1784136751.631629467,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322663691253180,1784322663.691253185,1.039446571,1784136751649961691,1784136751.649961710,-0.000884602907
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663736127140,1784322663.736127138,1.084320531,1784136751731639257,1784136751.731639385,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322663762297274,1784322663.762297392,1.110490665,1784136751750176681,1784136751.750176668,-0.000071919242
/kiss/odometry,nav_msgs/msg/Odometry,1784322663830288687,1784322663.830288649,1.178482078,1784136751850128940,1784136751.850128889,-0.001414476405
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663855713294,1784322663.855713367,1.203906685,1784136751831775187,1784136751.831775188,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322663897676419,1784322663.897676468,1.245869810,1784136751949941331,1784136751.949941158,-0.002152012812
/kiss/odometry,nav_msgs/msg/Odometry,1784322663976703065,1784322663.976702929,1.324896456,1784136752050192514,1784136752.050192595,-0.001400516303
/spool_cable_odom,nav_msgs/msg/Odometry,1784322663980595294,1784322663.980595112,1.328788685,1784136751931786441,1784136751.931786537,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664044061420,1784322664.044061422,1.392254811,1784136752150138892,1784136752.150138855,-0.002400279191
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664106607634,1784322664.106607676,1.454801025,1784136752031762453,1784136752.031762362,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664109362115,1784322664.109362125,1.457555506,1784136752250073942,1784136752.250073910,-0.001585688298
/kiss/odometry,nav_msgs/msg/Odometry,1784322664178389812,1784322664.178389788,1.526583203,1784136752349769053,1784136752.349768877,-0.001148343587
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664232114275,1784322664.232114077,1.580307666,1784136752131654714,1784136752.131654739,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664263581462,1784322664.263581514,1.611774853,1784136752450137390,1784136752.450137377,-0.000931583493
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664356154974,1784322664.356154919,1.704348365,1784136752231810778,1784136752.231810808,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664404710662,1784322664.404710770,1.752904053,1784136752550025177,1784136752.550025225,-0.001152847759
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664481634647,1784322664.481634617,1.829828038,1784136752331639789,1784136752.331639767,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664522557549,1784322664.522557497,1.870750940,1784136752650311339,1784136752.650311470,-0.001795399330
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664604102594,1784322664.604102612,1.952295985,1784136752431620148,1784136752.431620121,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664645605584,1784322664.645605564,1.993798975,1784136752750342536,1784136752.750342607,-0.001420594165
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664729724106,1784322664.729724169,2.077917497,1784136752531728936,1784136752.531728983,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664769141144,1784322664.769141197,2.117334535,1784136752850018758,1784136752.850018740,-0.000257082350
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664856918447,1784322664.856918573,2.205111838,1784136752631556705,1784136752.631556511,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322664888250614,1784322664.888250589,2.236444005,1784136752949997952,1784136752.949998140,0.000620401198
/spool_cable_odom,nav_msgs/msg/Odometry,1784322664985670234,1784322664.985670090,2.333863625,1784136752731742720,1784136752.731742620,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784322665026472256,1784322665.026472092,2.374665647,1784136753050202401,1784136753.050202370,-0.000124024058
